Quarter,Report date,Report time,Consensus est. EPS ($),Adjusted actuals EPS ($),EPS difference,Est. low/high range ($),StarMine from Refinitiv SmartEstimate($) ,GAAP EPS ($),Reported EPS ($)
,,,(22 Analysts),,,,,,
Q3 2017,10/13/17,--,0.45,0.48,0.03,0.43 / 0.48,0.45,0.46,0.48
,,,(25 Analysts),,,,,,
Q2 2017,7/18/17,--,0.43,0.46,0.03,0.40 / 0.45,0.48,0.44,0.46
,,,(24 Analysts),,,,,,
Q1 2017,4/18/17,--,0.35,0.41,0.06,0.31 / 0.37,0.35,0.45,0.41
,,,(27 Analysts),,,,,,
Q4 2016,1/13/17,--,0.38,0.4,0.02,0.35 / 0.41,0.38,0.4,0.4
,,,(30 Analysts),,,,,,
Q3 2016,10/17/16,--,0.34,0.41,0.07,0.31 / 0.37,0.34,0.41,0.41
,,,(29 Analysts),,,,,,
Q2 2016,7/18/16,--,0.33,0.41,0.08,0.26 / 0.40,0.32,0.4,0.41
,,,(27 Analysts),,,,,,
Q1 2016,4/14/16,--,0.21,0.28,0.07,0.15 / 0.25,0.2,0.28,0.28
,,,(25 Analysts),,,,,,
Q4 2015,1/19/16,--,0.26,0.27,0.01,0.24 / 0.30,0.26,0.28,0.27
,,,(26 Analysts),,,,,,
Q3 2015,10/14/15,--,0.33,0.38,0.05,0.29 / 0.38,0.32,0.38,0.38
,,,(28 Analysts),,,,,,
Q2 2015,7/15/15,--,0.36,0.38,0.02,0.31 / 0.40,0.35,0.4,0.38
,,,(28 Analysts),,,,,,
Q1 2015,4/15/15,--,0.29,0.27,-0.02,0.24 / 0.34,0.29,0.25,0.27
,,,(28 Analysts),,,,,,
Q4 2014,1/15/15,--,0.31,0.25,-0.06,0.29 / 0.35,0.31,0.25,0.25
,,,(26 Analysts),,,,,,
Q3 2014,10/15/14,--,-0.09,-0.04,0.05,2.8,-0.09,-0.04,-0.04
,,,(20 Analysts),,,,,,
Q2 2014,7/16/14,--,0.29,0.19,-0.1,0.24 / 0.33,0.27,0.19,0.19
,,,(21 Analysts),,,,,,
Q1 2014,4/16/14,--,0.05,-0.05,-0.1,0.02 / 0.11,0.05,-0.05,-0.05
,,,(24 Analysts),,,,,,
Q4 2013,1/15/14,--,0.26,0.29,0.03,0.20 / 0.31,0.25,0.29,0.29
,,,(29 Analysts),,,,,,
